accession	message	sample_name	sample_title	bioproject_number	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	isolation_source	sample_id_unique
SAMN13502355	Successfully loaded	13.aes.61	13.aes.61	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.61
SAMN13502356	Successfully loaded	13.aes.62	13.aes.62	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.62
SAMN13502357	Successfully loaded	13.aes.63	13.aes.63	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.63
SAMN13502358	Successfully loaded	13.aes.64	13.aes.64	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.64
SAMN13502359	Successfully loaded	13.aes.72	13.aes.72	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.72
SAMN13502360	Successfully loaded	13.aes.73	13.aes.73	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.73
SAMN13502361	Successfully loaded	13.aes.74	13.aes.74	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.74
SAMN13502362	Successfully loaded	13.aes.75	13.aes.75	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.75
SAMN13502363	Successfully loaded	13.aes.80	13.aes.80	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.80
SAMN13502364	Successfully loaded	13.aes.81	13.aes.81	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.81
SAMN13502365	Successfully loaded	13.aes.83	13.aes.83	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.83
SAMN13502366	Successfully loaded	13.aes.84	13.aes.84	PRJNA545312	human gut metagenome	NA	NA	ENVO:0000903	NA	USA:Durham	Homo sapiens	36 N 79 W	stool	13.aes.84
